Subject,Session,Axis,Run,Plate,S,rxy
P0003,20231009170558,axi,2,2,-1.03742960753781,0.024199510463087895
P0003,20231010170450,sag,,0,-0.9642219863393936,-0.0011064185764271019
P0003,20231010170450,cor,,0,-1.0043873919203141,-0.003947971576317084
P0003,20231010170450,axi,1,0,-1.0487037818977771,-0.028910629934536344
P0003,20231010170450,axi,1,1,-1.0391082896120878,0.0141081636744301
P0003,20231010170450,axi,1,2,-1.0597992975620436,0.030601760967060916
P0003,20231010170450,axi,2,0,-1.051993001843376,-0.03447312408007376
P0003,20231010170450,axi,2,1,-1.0321916397465554,0.02088478718950514
P0003,20231010170450,axi,2,2,-1.0546892604267182,0.028213001318576986
P0003,20231011155330,sag,,0,-0.963375357873174,-0.006939695560113819
P0003,20231011155330,cor,,0,-0.9998378247679144,-0.005455449780635136
P0003,20231011155330,axi,1,0,-1.0493647421847436,-0.041806578505377445
P0003,20231011155330,axi,1,1,-1.0377001661201806,0.00833759906721606
P0003,20231011155330,axi,1,2,-1.0571002790176307,0.02871178076520682
P0003,20231011155330,axi,2,0,-1.0504053555617292,-0.0459356232052711
P0003,20231011155330,axi,2,1,-1.0358122717074811,0.01487323738324363
P0003,20231011155330,axi,2,2,-1.0595993546899258,0.03652241235321976
P0003,20231016145010,sag,,0,-0.9610762946932876,0.0054152242205046
P0003,20231016145010,cor,,0,-1.0025252133147275,-0.00842888519850452
P0003,20231016145010,axi,1,0,-1.0364323584545787,-0.029141528570548234
P0003,20231016145010,axi,1,1,-1.0256434385159976,0.017541963470606516
P0003,20231016145010,axi,1,2,-1.0627792248955195,0.03020704609466146
P0003,20231016145010,axi,2,0,-1.0422837175020214,-0.028748356324854042
P0003,20231016145010,axi,2,1,-1.026598793125196,0.013249107491103577
P0003,20231016145010,axi,2,2,-1.0644523143364797,0.032000098342984534
P0003,20231017153058,sag,,0,-0.9588834681494912,0.003580481764836538
P0003,20231017153058,cor,,0,-1.000422557221622,-0.012988949373327854
P0003,20231017153058,axi,1,0,-1.038823549092584,-0.032348481249682134
P0003,20231017153058,axi,1,1,-1.029480703910942,0.013087793233949534
P0003,20231017153058,axi,1,2,-1.0582492492442486,0.03076932577859013
P0003,20231017153058,axi,2,0,-1.0425195024769416,-0.030034441828902227
P0003,20231017153058,axi,2,1,-1.0278765734103572,0.015193182976503877
P0003,20231017153058,axi,2,2,-1.0667623430627715,0.029899237646534856
P0003,20231018144455,sag,,0,-0.9614947816211225,0.0015660103173559883
P0003,20231018144455,cor,,0,-1.0018472658401691,-0.007575325606835152
P0003,20231018144455,axi,1,0,-1.0402602162799282,-0.027077006267625547
P0003,20231018144455,axi,1,1,-1.029480703910942,0.013087793233949534
P0003,20231018144455,axi,1,2,-1.0627792248955195,0.03020704609466146
P0003,20231018144455,axi,2,0,-1.0485377998272896,-0.03537742270352602
P0003,20231018144455,axi,2,1,-1.0311648331025052,0.02047846379710722
P0003,20231018144455,axi,2,2,-1.0643456706836958,0.023167695134698775
P0003,20231019140413,sag,,0,-0.9615888019075937,0.0008277085728403584
P0003,20231019140413,cor,,0,-1.0061627748640398,-0.008343082691064572
P0003,20231019140413,axi,1,0,-1.0396151452277123,-0.031804098448980675
P0003,20231019140413,axi,1,1,-1.0313934817532189,0.020476332324656416
P0003,20231019140413,axi,1,2,-1.068237549123257,0.024870596669095413
P0003,20231019140413,axi,2,0,-1.042900779494013,-0.029827830641669384
P0003,20231019140413,axi,2,1,-1.0319660670117266,0.016019350580598044
P0003,20231019140413,axi,2,2,-1.060593386769682,0.023771801480936508
P0003,20231023143153,sag,,0,-0.9577065052973994,0.002446705122645488
P0003,20231023143153,cor,,0,-0.9997534162857803,-0.00268074330970023
P0003,20231023143153,axi,1,0,-1.0522262157373548,-0.02137303372367845
P0003,20231023143153,axi,1,1,-1.0321862268262099,0.02841875109037678
P0003,20231023143153,axi,1,2,-1.0552810238524053,0.02894020711222455
P0003,20231023143153,axi,2,0,-1.0522262157373548,-0.02137303372367845
P0003,20231023143153,axi,2,1,-1.0283731778039338,0.030440166729308278
P0003,20231023143153,axi,2,2,-1.0611236030854065,0.029403066793821313
P0003,20231024194752,sag,,0,-0.9626748019642999,-0.010457608930201832
P0003,20231024194752,cor,,0,-0.9991693495916436,-0.00620873372224047
P0003,20231024194752,axi,1,0,-1.048068247392666,-0.032503941969377816
